Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.003749083998626555,-0.2790312588231654,0.701234942609215,0.0046029162482094255,0.2790312588231654,0.701234942609215
ENSG00000239945,AL627309.3,0.00032600730422839607,0.7653628605352889,0.734995319448397,0.00014384113275654455,-0.7653628605352889,0.734995319448397
ENSG00000241860,AL627309.5,0.01825640903679018,-2.1542387868227837,7.58473459636194e-13,0.08184560453847385,2.1542387868227837,7.58473459636194e-13
ENSG00000241599,AL627309.4,0.00016300365211419803,-1.6269545622434727,0.25301289859603476,0.0008630467965392673,1.6269545622434727,0.25301289859603476
ENSG00000229905,AL669831.2,0.0008150182605709902,1.765362860535289,0.21074133418920915,0.00014384113275654455,-1.765362860535289,0.21074133418920915
ENSG00000237491,LINC01409,0.08639193562052497,0.4516086970936266,0.16663926149000483,0.06314625728012306,-0.4516086970936266,0.16663926149000483
ENSG00000177757,FAM87B,0.00032600730422839607,-2.8784933292394363,0.000438033796636907,0.003452187186157069,2.8784933292394363,0.000438033796636907
ENSG00000228794,LINC01128,0.09600915109526265,1.0495811493694114,0.00017586009633113926,0.04631684474760735,-1.0495811493694114,0.00017586009633113926
ENSG00000225880,LINC00115,0.01564835060296301,-1.102329847360581,0.0009416975035600457,0.03380266619778797,1.102329847360581,0.0009416975035600457
ENSG00000230368,FAM41C,0.03211171946649701,0.28619502383672923,0.4724843572073265,0.026322927294447653,-0.28619502383672923,0.4724843572073265
ENSG00000230699,AL645608.2,0.0006520146084567921,-1.0826340460196615,0.26539659659942677,0.00158225246032199,1.0826340460196615,0.26539659659942677
ENSG00000241180,AL645608.4,0.0,-1.4045621409070232,0.6415316365340544,0.0002876822655130891,1.4045621409070232,0.6415316365340544
ENSG00000187634,SAMD11,0.0011410255647993862,0.8584722649267693,0.6109898784243833,0.0005753645310261782,-0.8584722649267693,0.6109898784243833
ENSG00000188976,NOC2L,0.3268223224889671,0.15050625042631327,0.6690232746855923,0.29444279875264673,-0.15050625042631327,0.6690232746855442
ENSG00000187961,KLHL17,0.026080584338271685,0.37176588552995593,0.3697309025050897,0.020137758585916238,-0.37176588552995593,0.3697309025050897
ENSG00000187583,PLEKHN1,0.0048901095634259414,-0.6982933439637344,0.19246121430541238,0.008055103434366495,0.6982933439637344,0.19246121430541238
ENSG00000187642,PERM1,0.0004890109563425941,1.1804003598141328,0.5201480026665503,0.00014384113275654455,-1.1804003598141328,0.5201480026665503
ENSG00000272512,AL645608.7,0.0008150182605709902,-3.660901894166809,7.53896809344259e-07,0.012226496284306287,3.660901894166809,7.53896809344259e-07
ENSG00000188290,HES4,0.019397434601589568,-4.405062989737219,6.2393603282184775e-43,0.41426246233884834,4.405062989737219,6.2393603282184775e-43
ENSG00000187608,ISG15,0.9178735650550491,-1.9226489668978854,1.928281601625865e-13,3.4802362070445954,1.9226489668978854,1.9282816016257406e-13
ENSG00000224969,AL645608.1,0.00032600730422839607,-0.5565652343520746,0.8152876992552797,0.0005753645310261782,0.5565652343520746,0.8152876992552797
ENSG00000188157,AGRN,0.007335164345138912,-1.6269545622434718,5.609830238978576e-06,0.02301458124104713,1.6269545622434718,5.609830238978576e-06
ENSG00000273443,AL645608.8,0.00032600730422839607,0.7653628605352889,0.734995319448397,0.00014384113275654455,-0.7653628605352889,0.734995319448397
ENSG00000131591,C1orf159,0.04368497876660508,0.06698737946247224,0.9104563964307678,0.04171392849939792,-0.06698737946247224,0.9104563964307678
ENSG00000285812,AL390719.3,0.0019560438253703764,-0.11915992204477455,0.9574850986880064,0.0021576169913481683,0.11915992204477455,0.9574850986880064
ENSG00000223823,LINC01342,0.0004890109563425941,2.180400359814133,0.201332535324649,0.0,-2.180400359814133,0.201332535324649
ENSG00000272141,AL390719.2,0.0,-0.8195996401858672,1.0,0.00014384113275654455,0.8195996401858672,1.0
ENSG00000205231,TTLL10-AS1,0.0006520146084567921,2.5023284547014946,0.10950119149601502,0.0,-2.5023284547014946,0.10950119149601502
ENSG00000162571,TTLL10,0.004727105911311744,1.9173659539803394,0.0037320597166118105,0.0011507290620523564,-1.9173659539803394,0.0037320597166118105
ENSG00000186891,TNFRSF18,0.1344780129942134,3.8480305182051238,5.93994421647459e-33,0.009205832496418851,-3.8480305182051238,5.93994421647459e-33
ENSG00000186827,TNFRSF4,0.17799998810870427,3.81504642684874,1.1491814399440528e-34,0.012514178549819377,-3.81504642684874,1.1491814399440528e-34
ENSG00000078808,SDF4,0.4751556459128873,-0.08007556325379528,0.8539359957151205,0.5022932355858536,0.08007556325379528,0.8539359957151205
ENSG00000176022,B3GALT6,0.13839010064495413,0.0835829066450895,0.8418905380269807,0.13060774854294246,-0.0835829066450895,0.8418905380269807
ENSG00000184163,C1QTNF12,0.003912087650740753,-0.2632062916614819,0.7096371345587066,0.0047467573809659705,0.2632062916614819,0.7096371345587066
ENSG00000260179,AL162741.1,0.0014670328690277823,-0.819599640185869,0.3039496207198081,0.0027329815223743467,0.819599640185869,0.3039496207198081
ENSG00000160087,UBE2J2,0.34817580091592704,-0.023843494010513888,1.0,0.35399302771385616,0.023843494010513888,1.0
ENSG00000230415,LINC01786,0.0029340657380555646,2.1063997783703545,0.006537960003987058,0.0005753645310261782,-2.1063997783703545,0.006537960003987058
ENSG00000162572,SCNN1D,0.007335164345138912,1.1189998151499898,0.14238824965157112,0.0033083460534005247,-1.1189998151499898,0.14238824965157112
