"","fileID","Dim1","Dim2","Dim3","Dim4","lang4"
"1","EN_NL_273",-0.294789289511986,0.386800360837365,-1.14324815498306,-0.179575816535018,"Eng_Dut"
"2","EN_NL_274",-1.11481213009253,0.548017158662495,-1.45542903145419,-0.293490918239374,"Eng_Dut"
"3","EN_NL_275",0.129164799412698,-0.00524451333818429,-0.506319385158531,-0.321189874454135,"Eng_Dut"
"4","EN_NL_276",0.000329191582506535,0.378453953217717,-0.185255009719786,-0.303848119841121,"Eng_Dut"
"5","EN_NL_277",-0.062971194145745,0.350620800528489,-0.442865451866026,-0.193787002180892,"Eng_Dut"
"6","EN_NL_278",-1.03263463099379,0.269283443066922,-1.1359285825264,0.0385610233792842,"Eng_Dut"
"7","EN_NL_279",-0.258753730289008,0.885667137011447,-0.684709391865352,-0.0818578499794213,"Eng_Dut"
"8","EN_NL_280",-0.605947340464468,0.251258378797255,-0.532947522384323,-0.0073271409307665,"Eng_Dut"
"9","EN_NL_281",-0.850816180021861,0.702503344873473,-1.14806680691617,-0.109835199299987,"Eng_Dut"
"10","EN_NL_282",0.0370256014422222,0.191859223978921,0.0131745561032349,0.170366926757806,"Eng_Dut"
"11","EN_NL_283",-1.10785944169783,0.50443667806193,-1.42762843544743,-0.297971031397838,"Eng_Dut"
"12","EN_NL_284",-1.38749814479775,0.955978036396405,-2.79978640297589,-0.000876287113417331,"Eng_Dut"
"13","EN_NL_285",-1.09262170357899,0.788581605807686,-0.87635572406685,0.29488113226948,"Eng_Dut"
"14","EN_NL_286",-1.75055347548042,1.12129280842865,-2.45368860490248,0.246875706043836,"Eng_Dut"
"15","EN_NL_287",-0.208161552049112,0.367573793902508,-1.050986599708,-0.275728311899126,"Eng_Dut"
"16","EN_NL_289",-0.524059583590585,0.243228318162971,-0.317070388317804,-0.167874595353439,"Eng_Dut"
"17","EN_NL_290",-0.677766894660308,-0.644155775187907,-1.22934613633333,-0.308260059350179,"Eng_Dut"
"18","EN_NL_291",-1.12434293209596,0.392687769906105,-0.867940220527574,0.267704641007697,"Eng_Dut"
"19","EN_NL_292",-1.59101908024817,0.852349380541159,-1.84549009883511,0.356242595557074,"Eng_Dut"
"20","EN_NL_293",0.21343508151562,0.468972104564819,-0.315620078115535,-0.58104536457578,"Eng_Dut"
"21","EN_NL_294",-1.02721157529177,0.606349281877954,-1.48926470713417,0.0651051882005107,"Eng_Dut"
"22","EN_NL_295",-0.886043721064428,0.107782307905309,-0.520347683953144,0.223476752929363,"Eng_Dut"
"23","EN_NL_296",-1.61345740503955,1.11064018134647,-3.34321344670659,0.0856613325387828,"Eng_Dut"
"24","EN_NL_297",0.590730762751533,0.59721021332984,-0.44607545662513,-0.365505733161549,"Eng_Dut"
"25","EN_NL_298",-0.358422401657211,0.0408822967989541,0.220146179973095,-0.0663977476314816,"Eng_Dut"
"26","EN_NL_299",-0.678773055687969,0.152563529684509,-0.802893310282475,0.246868318152046,"Eng_Dut"
"27","fn000115",0.429860227636543,0.0497256394677484,-0.225759191300368,0.0644339294239547,"NAT_Dut"
"28","fn000141",0.369275543517245,0.179985500468536,-0.0502389165778508,0.059774763245453,"NAT_Dut"
"29","fn000142",0.355307154050696,0.175664515620179,0.0942232135537326,-0.0802397142024927,"NAT_Dut"
"30","fn000143",0.320012431197415,0.255340131816075,0.020530874033196,0.0107560447263952,"NAT_Dut"
"31","fn000144",0.58170126046978,0.233314093352083,0.0455524284616672,-0.093589002061107,"NAT_Dut"
"32","fn000145",0.59187316553415,0.342552664672553,0.201047147167744,-0.261730650619317,"NAT_Dut"
"33","fn000146",0.297728281972347,0.140160542086837,-0.112416644414857,0.158894465957482,"NAT_Dut"
"34","fn000147",-0.0702485515598667,-0.122153044416486,-0.284558632551981,-0.104727279259889,"NAT_Dut"
"35","fn000148",0.604013765351627,0.131075766683017,0.210377622668362,-0.164602210256897,"NAT_Dut"
"36","fn000149",0.265786936680078,0.209690454234065,-0.305667201779208,-0.0464850089190265,"NAT_Dut"
"37","fn000150",0.447148926039815,0.115445860223384,0.135252059323453,0.176034025569048,"NAT_Dut"
"38","fn000151",0.278109391953826,0.203774215777706,-0.313968320265963,-0.120317496641946,"NAT_Dut"
"39","fn000152",0.303957667994223,-0.189015691837736,0.0900897022263133,-0.0798328711248417,"NAT_Dut"
"40","fn000153",0.191799379166731,0.0870465804976675,-0.0038203524038002,-0.0254159321035225,"NAT_Dut"
"41","fn000154",0.122904475446882,0.362786231658622,-0.262401787182389,0.113990131127988,"NAT_Dut"
"42","fn000155",0.320666805312462,-0.174848416594477,-0.0705894469900709,-0.0603601511341303,"NAT_Dut"
"43","fn000156",0.119681571211798,0.228504532909886,-0.113274278721475,0.103856633162117,"NAT_Dut"
"44","fn000157",0.0893332461137466,0.153339716193176,0.163313565406896,0.0369066412117897,"NAT_Dut"
"45","fn000158",0.503855797133302,0.23252989235422,0.0730274978475063,0.664441345473548,"NAT_Dut"
"46","fn000159",0.840610693160562,0.224983043964234,0.0373495162922257,1.29447697065098,"NAT_Dut"
"47","fn000160",0.305751784780424,0.269798877771876,-0.0898421694462049,-0.0780492319685037,"NAT_Dut"
"48","fn000161",0.509547437241742,0.275650847998434,0.140972687784908,0.115799383858033,"NAT_Dut"
"49","fn000162",0.185707475305081,0.210237240943325,-0.0167357690438553,-0.0972949207080344,"NAT_Dut"
"50","fn000163",0.61011173046787,0.211338137029415,0.183246742433016,0.159590165662649,"NAT_Dut"
"51","fn000164",0.503211182203376,0.136995802868462,0.150300222415145,-0.130418841906575,"NAT_Dut"
